0.403,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0003,-0.0001,-0.0015,-0.0006,-0.0015,-0.0005,-0.0005,-0.0004,-0.0005,0.0006,0.0002,0.0003,0.0022,0.0028,0.0011,0.0071,-0.0007,-0.0007,-0.0007,-0.0007
0.448,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0025,-0.0002,-0.0004,-0.0002,-0.001,0.0011,-0.0004,-0.0005,-0.0,-0.0024,-0.0006,-0.0006,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
0.493,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0021,0.0002,0.0008,0.0006,0.0002,-0.001,-0.0006,-0.0006,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0006,-0.0006,-0.0006
0.538,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0025,-0.0006,0.0028,-0.0002,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0852
0.582,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,-0.0004,-0.0004,-0.0006,-0.0006,-0.0006,-0.0006,0.0011,-0.0004,0.0005,0.0013,0.0171,0.0007,0.0038,-0.0009,-0.0005,-0.0007,-0.0004,-0.0003,-0.0004,-0.0008
0.627,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0036,-0.0006,-0.0006,-0.0002,0.0009,0.0003,-0.0004,-0.0007,0.0017,-0.0004,-0.0007,0.0028,0.0025,0.01,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
0.672,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0007,0.0012,-0.0006,0.0002,-0.0009,0.0002,0.0012,0.0001,-0.001,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,-0.0008,-0.0014,-0.0002
0.717,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0002,-0.0006,0.0002,0.0007,-0.0006,0.0124,-0.0006,-0.0006,-0.0006,-0.0005,-0.0002,-0.0002,0.006,-0.0006,-0.0009,-0.0006,-0.0007,-0.0007,-0.0007,-0.0006,-0.0006
0.762,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0005,-0.0001,-0.001,0.0001,-0.0007,0.0006,0.0004,-0.0007,-0.0006,-0.0006,0.002,-0.0012,-0.0005,0.0095,-0.0008,-0.0008,-0.0006,-0.0007,0.0147,0.0363
0.806,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0002,-0.0028,0.0003,-0.0015,0.0002,-0.0006,0.001,0.0001,-0.0005,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,0.0019,-0.0016,0.0
